epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,9026.25,1.59841,1.29543,0.94335,0.48875,0.80311,0.54835,0.32333,1.22303,7.22174,0.79582,0.0010595,0.0010595,0.0010595
97,9158.03,1.57289,1.25032,0.94569,0.49134,0.79779,0.56504,0.30314,1.25772,7.26903,0.79372,0.0010496,0.0010496,0.0010496
98,9231.3,1.60961,1.31402,0.95768,0.51247,0.76103,0.55879,0.31448,1.20063,4.54265,0.78821,0.0010397,0.0010397,0.0010397
99,9308.32,1.5728,1.27134,0.95322,0.50014,0.81111,0.56569,0.31417,1.19112,4.65675,0.78339,0.0010298,0.0010298,0.0010298
100,9383.83,1.58791,1.35203,0.95385,0.48377,0.83824,0.55432,0.29912,1.24048,7.09489,0.79067,0.0010199,0.0010199,0.0010199
101,9461,1.52097,1.28587,0.94254,0.50194,0.84375,0.55577,0.31159,1.18238,7.56841,0.78316,0.00101,0.00101,0.00101
102,9536.75,1.51007,1.13028,0.97124,0.49359,0.84743,0.55249,0.32159,1.19444,8.5821,0.78011,0.0010001,0.0010001,0.0010001
103,9610.93,1.55519,1.45242,0.9517,0.49738,0.84949,0.5583,0.32563,1.18864,6.87445,0.78296,0.0009902,0.0009902,0.0009902
104,9686.3,1.46338,1.29102,0.96675,0.50075,0.84007,0.56484,0.3319,1.14498,4.63262,0.76875,0.0009803,0.0009803,0.0009803
105,9762.01,1.5694,1.4472,0.97205,0.49168,0.84375,0.55647,0.31707,1.21706,5.11278,0.77346,0.0009704,0.0009704,0.0009704
106,9839.61,1.54637,1.31758,0.9367,0.4777,0.83272,0.55814,0.31015,1.20373,8.87136,0.77493,0.0009605,0.0009605,0.0009605
107,9915.2,1.55669,1.24833,0.94975,0.48596,0.81434,0.54703,0.30991,1.13659,8.89392,0.77249,0.0009506,0.0009506,0.0009506
108,9990.94,1.64195,1.43143,0.97297,0.50532,0.81496,0.55662,0.31786,1.11809,4.92144,0.77221,0.0009407,0.0009407,0.0009407
