epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3318.12,1.49591,0.81447,0.92202,0.92272,0.92183,0.95441,0.54763,1.29151,0.72559,0.90154,0.0011387,0.0011387,0.0011387
89,3338.09,1.61805,0.83676,0.92914,0.93757,0.90441,0.94671,0.54305,1.30987,0.73206,0.9036,0.0011288,0.0011288,0.0011288
90,3358.01,1.54814,0.7808,0.8951,0.94638,0.9084,0.95399,0.5509,1.32837,0.73949,0.90733,0.0011189,0.0011189,0.0011189
91,3377.68,1.49173,0.83023,0.93145,0.93783,0.90809,0.94794,0.55155,1.33596,0.73793,0.90818,0.001109,0.001109,0.001109
92,3397.75,1.48949,0.82346,0.90309,0.92008,0.90809,0.9518,0.54269,1.35745,0.75666,0.90615,0.0010991,0.0010991,0.0010991
93,3417.24,1.53569,0.84409,0.9077,0.93373,0.90809,0.9534,0.53805,1.3623,0.76572,0.90229,0.0010892,0.0010892,0.0010892
94,3438.05,1.53978,0.82547,0.89631,0.92733,0.90993,0.93041,0.52158,1.3619,0.81107,0.90269,0.0010793,0.0010793,0.0010793
95,3457.7,1.58862,0.8334,0.89339,0.91784,0.90358,0.9292,0.52922,1.339,0.8755,0.9025,0.0010694,0.0010694,0.0010694
96,3477.11,1.43785,0.81215,0.93915,0.92863,0.89522,0.93951,0.54967,1.32748,0.7401,0.90415,0.0010595,0.0010595,0.0010595
97,3496.6,1.45814,0.80048,0.90224,0.94174,0.88971,0.95054,0.56525,1.27425,0.69878,0.89175,0.0010496,0.0010496,0.0010496
98,3516.34,1.46554,0.77804,0.91053,0.95139,0.90625,0.95734,0.57196,1.26234,0.68447,0.88854,0.0010397,0.0010397,0.0010397
99,3536.03,1.44375,0.74426,0.87375,0.93799,0.91763,0.95933,0.57635,1.26545,0.67499,0.88768,0.0010298,0.0010298,0.0010298
100,3555.87,1.41675,0.7551,0.89687,0.94763,0.91544,0.95711,0.56975,1.27146,0.70782,0.88981,0.0010199,0.0010199,0.0010199
101,3575.47,1.47817,0.77855,0.89934,0.93119,0.91544,0.9559,0.58501,1.22859,0.70291,0.88697,0.00101,0.00101,0.00101
102,3594.94,1.41246,0.76932,0.91568,0.94821,0.90871,0.95756,0.58994,1.22287,0.6777,0.88623,0.0010001,0.0010001,0.0010001
103,3614.47,1.39749,0.76056,0.92729,0.95309,0.89631,0.95356,0.59179,1.22403,0.6632,0.88495,0.0009902,0.0009902,0.0009902
104,3634.08,1.33561,0.71611,0.91677,0.92639,0.92541,0.95752,0.59121,1.22178,0.6746,0.88468,0.0009803,0.0009803,0.0009803
105,3653.61,1.43611,0.76392,0.92141,0.9353,0.90809,0.95404,0.59059,1.22701,0.67419,0.88539,0.0009704,0.0009704,0.0009704
106,3673.1,1.39743,0.76263,0.90714,0.961,0.90588,0.9628,0.58374,1.23817,0.67616,0.88512,0.0009605,0.0009605,0.0009605
107,3692.74,1.39985,0.73126,0.91267,0.95913,0.90603,0.96501,0.57822,1.25154,0.67413,0.88471,0.0009506,0.0009506,0.0009506
108,3712.74,1.45341,0.77634,0.91911,0.95049,0.91763,0.96298,0.59193,1.20404,0.67137,0.87799,0.0009407,0.0009407,0.0009407
109,3732.27,1.48256,0.7783,0.89496,0.94856,0.91544,0.96088,0.58741,1.21811,0.66676,0.88209,0.0009308,0.0009308,0.0009308
110,3751.81,1.42232,0.74477,0.89353,0.9539,0.92831,0.96305,0.59627,1.20188,0.65152,0.88157,0.0009209,0.0009209,0.0009209
111,3771.22,1.37622,0.72979,0.89939,0.95133,0.93418,0.96746,0.60079,1.18434,0.65408,0.87767,0.000911,0.000911,0.000911
112,3791.04,1.44421,0.74238,0.92363,0.95671,0.94485,0.96642,0.58713,1.2375,0.67656,0.88653,0.0009011,0.0009011,0.0009011
113,3810.81,1.33615,0.70079,0.8916,0.94426,0.94118,0.96592,0.59899,1.19303,0.6757,0.87955,0.0008912,0.0008912,0.0008912
114,3830.37,1.38423,0.72378,0.8952,0.94432,0.93566,0.96175,0.60186,1.17049,0.67694,0.87451,0.0008813,0.0008813,0.0008813
115,3849.76,1.49603,0.77311,0.88039,0.95012,0.91043,0.96269,0.57775,1.22708,0.69237,0.88026,0.0008714,0.0008714,0.0008714
116,3869.49,1.47098,0.74213,0.89219,0.95516,0.90809,0.9665,0.58087,1.2403,0.68618,0.87971,0.0008615,0.0008615,0.0008615
117,3889.08,1.48148,0.75741,0.91135,0.95321,0.91544,0.96254,0.59992,1.20533,0.66624,0.87499,0.0008516,0.0008516,0.0008516
118,3908.74,1.43231,0.72897,0.90101,0.96866,0.92463,0.9642,0.60112,1.19604,0.65569,0.87493,0.0008417,0.0008417,0.0008417
119,3928.75,1.41038,0.74803,0.89369,0.967,0.9157,0.96294,0.59929,1.19937,0.65459,0.87718,0.0008318,0.0008318,0.0008318
120,3948.95,1.43233,0.75091,0.89334,0.95095,0.91912,0.9616,0.58743,1.21317,0.65712,0.87962,0.0008219,0.0008219,0.0008219
121,3968.77,1.42001,0.73364,0.88379,0.9477,0.93266,0.9618,0.59534,1.18703,0.65578,0.87395,0.000812,0.000812,0.000812
122,3988.46,1.32184,0.71069,0.88218,0.95291,0.93005,0.96392,0.60993,1.15316,0.65203,0.86768,0.0008021,0.0008021,0.0008021
123,4007.99,1.34228,0.70794,0.8777,0.95754,0.93382,0.96642,0.61266,1.1508,0.65332,0.86613,0.0007922,0.0007922,0.0007922
124,4027.7,1.30324,0.67784,0.89544,0.95602,0.94301,0.97092,0.61424,1.15023,0.64157,0.86458,0.0007823,0.0007823,0.0007823
125,4047.5,1.29468,0.6767,0.8965,0.95306,0.93308,0.97183,0.62132,1.14954,0.63518,0.86567,0.0007724,0.0007724,0.0007724
126,4067.43,1.308,0.70151,0.88833,0.95702,0.94143,0.96863,0.62632,1.14238,0.62748,0.8648,0.0007625,0.0007625,0.0007625
127,4086.95,1.39175,0.69938,0.90143,0.96016,0.92831,0.96741,0.62284,1.14615,0.62112,0.86204,0.0007526,0.0007526,0.0007526
128,4106.5,1.35797,0.69156,0.89827,0.96604,0.94113,0.97435,0.62697,1.13432,0.62327,0.86319,0.0007427,0.0007427,0.0007427
129,4126.15,1.32192,0.6747,0.87327,0.97158,0.94256,0.9762,0.61208,1.17776,0.63209,0.86801,0.0007328,0.0007328,0.0007328
130,4145.87,1.39257,0.70476,0.8721,0.9734,0.94169,0.97625,0.59297,1.21931,0.64095,0.8723,0.0007229,0.0007229,0.0007229
131,4165.65,1.3408,0.68205,0.88613,0.95512,0.93566,0.97393,0.60219,1.18405,0.63087,0.86823,0.000713,0.000713,0.000713
132,4185.34,1.43475,0.70457,0.86013,0.95711,0.94359,0.97561,0.6308,1.09903,0.61106,0.85441,0.0007031,0.0007031,0.0007031
133,4204.79,1.24629,0.65943,0.87182,0.96983,0.94534,0.97729,0.62587,1.10902,0.60293,0.85256,0.0006932,0.0006932,0.0006932
134,4224.67,1.28073,0.66195,0.8811,0.9753,0.9436,0.97668,0.62284,1.12063,0.59553,0.8528,0.0006833,0.0006833,0.0006833
135,4244.63,1.31517,0.71254,0.86766,0.97177,0.94301,0.9749,0.63906,1.10239,0.59413,0.85065,0.0006734,0.0006734,0.0006734
136,4264.55,1.3232,0.67386,0.87738,0.96626,0.93199,0.96715,0.64213,1.08471,0.59885,0.84868,0.0006635,0.0006635,0.0006635
137,4284.26,1.26989,0.66931,0.88746,0.96192,0.92879,0.9689,0.64699,1.08266,0.6005,0.84942,0.0006536,0.0006536,0.0006536
138,4304,1.28655,0.64329,0.86335,0.97179,0.93015,0.97583,0.64732,1.08254,0.59872,0.85021,0.0006437,0.0006437,0.0006437
139,4323.46,1.3997,0.73502,0.88699,0.9766,0.93934,0.97814,0.64248,1.09842,0.59402,0.85217,0.0006338,0.0006338,0.0006338
140,4343.02,1.3351,0.67978,0.87534,0.97193,0.9549,0.97322,0.64798,1.08423,0.58142,0.8493,0.0006239,0.0006239,0.0006239
141,4362.95,1.25081,0.65772,0.87418,0.97021,0.95772,0.97312,0.64697,1.07845,0.57987,0.84672,0.000614,0.000614,0.000614
142,4382.96,1.33318,0.68102,0.87763,0.967,0.95772,0.97284,0.65175,1.07902,0.58438,0.84597,0.0006041,0.0006041,0.0006041
143,4402.58,1.23521,0.65492,0.87342,0.97045,0.95404,0.97883,0.65823,1.07119,0.58449,0.84534,0.0005942,0.0005942,0.0005942
144,4422.19,1.31604,0.67622,0.85754,0.97157,0.95404,0.97817,0.66221,1.05774,0.57847,0.84444,0.0005843,0.0005843,0.0005843
145,4441.58,1.26883,0.67136,0.8855,0.97004,0.95772,0.98026,0.65946,1.05527,0.57677,0.84501,0.0005744,0.0005744,0.0005744
